Date,Open,High,Low,Close,Adj Close,Volume
2020-11-16,23.650000,25.490000,23.620001,25.000000,25.000000,46065400
2020-11-17,22.059999,23.379999,22.000000,22.980000,22.980000,78945900
2020-11-18,23.370001,23.799999,22.559999,23.219999,23.219999,34965000
2020-11-19,23.670000,24.870001,23.450001,23.790001,23.790001,44568000
2020-11-20,24.100000,24.740000,23.969999,24.360001,24.360001,24135400
2020-11-23,24.950001,27.020000,24.740000,26.870001,26.870001,45700300
2020-11-24,28.360001,28.700001,25.510000,26.719999,26.719999,51677900
2020-11-25,25.799999,26.400000,25.070000,26.160000,26.160000,30996200
2020-11-27,26.990000,27.780001,25.660000,26.240000,26.240000,23115600
2020-11-30,27.330000,27.350000,23.510000,26.389999,26.389999,33651300
2020-12-01,25.920000,26.049999,23.750000,24.469999,24.469999,32719200
2020-12-02,22.629999,24.799999,22.250000,24.070000,24.070000,30650200
2020-12-03,24.340000,24.730000,23.809999,23.850000,23.850000,17686700
2020-12-04,24.270000,24.930000,23.950001,24.850000,24.850000,18433700
2020-12-07,25.400000,25.980000,24.440001,24.750000,24.750000,16997600
2020-12-08,25.010000,29.490000,24.920000,28.740000,28.740000,69823100
2020-12-09,28.799999,29.690001,26.170000,26.740000,26.740000,36201300
2020-12-10,26.500000,28.110001,26.260000,27.190001,27.190001,24464800
2020-12-11,27.080000,27.850000,26.219999,26.770000,26.770000,16732500
2020-12-14,27.190001,27.400000,25.700001,25.700001,25.700001,16546400
2020-12-15,27.389999,29.309999,26.860001,28.469999,28.469999,49678700
2020-12-16,28.549999,28.770000,27.400000,28.459999,28.459999,22609100
2020-12-17,28.500000,30.980000,28.490000,30.570000,30.570000,42578400
2020-12-18,30.530001,33.020000,29.879999,31.629999,31.629999,52665500
2020-12-21,31.420000,32.459999,30.459999,32.369999,32.369999,35161300
2020-12-22,34.410000,36.740002,33.799999,35.689999,35.689999,51652500
2020-12-23,36.759998,37.110001,34.680000,36.139999,36.139999,40179900
2020-12-24,35.709999,36.669998,34.750000,35.580002,35.580002,19919300
2020-12-28,37.369999,37.509998,33.529999,33.570000,33.570000,35787800
2020-12-29,33.330002,33.459999,30.840000,32.459999,32.459999,32063600
2020-12-30,33.139999,34.400002,32.560001,34.189999,34.189999,24354700
2020-12-31,34.099998,34.570000,33.099998,33.910000,33.910000,15583600
2021-01-04,34.639999,34.919998,31.070000,32.169998,32.169998,29515600
2021-01-05,30.790001,33.090000,30.400000,32.549999,32.549999,18544000
2021-01-06,34.369999,36.860001,33.720001,35.000000,35.000000,45988500
2021-01-07,43.599998,47.310001,43.160000,47.290001,47.290001,98454300
2021-01-08,51.980000,55.980000,49.200001,53.779999,53.779999,99975600
2021-01-11,48.860001,54.349998,47.619999,53.970001,53.970001,46207500
2021-01-12,62.400002,66.070000,60.830002,66.019997,66.019997,109979100
2021-01-13,70.300003,73.900002,64.129997,69.500000,69.500000,153092700
2021-01-14,66.220001,68.550003,63.759998,66.540001,66.540001,89190000
2021-01-15,63.150002,65.000000,57.320000,60.139999,60.139999,80569600
2021-01-19,63.639999,68.449997,62.230000,66.470001,66.470001,62967300
2021-01-20,65.809998,65.849998,60.279999,62.500000,62.500000,64225700
2021-01-21,60.049999,65.330002,58.730000,63.689999,63.689999,55651300
2021-01-22,62.299999,67.019997,61.959999,66.870003,66.870003,40321800
2021-01-25,66.470001,70.580002,63.150002,65.720001,65.720001,35466900
2021-01-26,67.639999,75.489998,66.000000,73.180000,73.180000,70505800
2021-01-27,64.050003,69.510002,62.950001,64.419998,64.419998,72967800
2021-01-28,65.599998,68.000000,62.990002,65.279999,65.279999,41440400
2021-01-29,65.849998,67.150002,62.360001,63.169998,63.169998,28673700
2021-02-01,64.290001,65.699997,60.770000,63.849998,63.849998,19010200
2021-02-02,64.089996,64.930000,61.029999,64.250000,64.250000,24272700
2021-02-03,65.910004,68.680000,63.150002,67.379997,67.379997,28055500
2021-02-04,68.250000,70.510002,67.260002,67.669998,67.669998,21240500
2021-02-05,69.000000,69.099998,65.480003,65.769997,65.769997,18094100
2021-02-08,66.110001,67.199997,64.660004,66.190002,66.190002,15920700
2021-02-09,65.570000,69.879997,65.550003,67.480003,67.480003,23365800
2021-02-10,68.970001,69.000000,62.400002,64.330002,64.330002,27217000
2021-02-11,65.000000,65.589996,62.900002,63.990002,63.990002,13871700
2021-02-12,63.160000,64.129997,61.590000,63.189999,63.189999,12303100
